,guest_count,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,reviews_per_month,average_ratings,clusters,cluster
2236,4,1.0,2.0,85.0,1,10,23,53,83,3.92,4.871666666666666,2,dark purple
2238,4,1.0,3.0,118.0,2,1125,15,40,70,5.95,4.973333333333334,0,pink
2239,3,1.0,2.0,117.0,1,90,23,53,83,7.21,4.95,2,dark purple
2240,5,1.0,3.0,143.0,2,365,18,39,64,5.09,4.99,1,purple
2241,4,1.0,2.0,159.0,1,1125,19,49,77,7.35,4.915,0,pink
2242,6,1.0,3.0,113.0,2,365,19,49,79,3.49,4.928333333333334,1,purple
2243,4,1.0,2.0,70.0,28,280,1,21,51,0.0,0.0,1,purple
2244,6,2.0,3.0,128.0,29,1125,5,5,5,0.32,5.0,0,pink
2245,3,2.0,2.0,125.0,30,1125,28,58,88,0.0,0.0,0,pink
2246,4,1.0,2.0,180.0,29,1125,1,30,60,0.23,4.9383333333333335,0,pink
2248,4,1.0,2.0,199.0,2,6,9,35,60,0.83,4.973333333333334,2,dark purple
2249,2,1.0,1.0,55.0,29,1125,0,0,27,0.41,4.944999999999999,0,pink
2250,4,1.0,2.0,81.0,29,1125,30,60,90,3.27,4.848333333333333,0,pink
2251,5,1.0,3.0,152.0,2,28,22,46,76,4.31,4.925,2,dark purple
2253,4,1.0,3.0,166.0,1,365,23,53,75,1.57,4.956666666666667,1,purple
2254,3,1.0,1.0,205.0,29,60,28,58,88,0.33,4.9799999999999995,2,dark purple
2255,2,1.0,1.0,60.0,30,365,30,60,90,0.36,5.0,1,purple
2256,2,1.0,1.0,77.0,29,1125,1,10,40,0.15,5.0,0,pink
2257,4,2.0,2.0,144.0,29,365,30,60,90,0.0,0.0,1,purple
2258,2,1.0,1.0,183.0,1,365,30,56,86,0.0,0.0,1,purple
2259,4,2.0,2.0,129.0,30,730,0,0,0,0.16,5.0,1,purple
2260,3,1.0,1.0,170.0,2,13,10,18,41,0.0,0.0,2,dark purple
2261,2,1.0,1.0,151.0,31,1125,0,0,0,0.16,5.0,0,pink
2262,4,2.0,2.0,198.0,29,365,0,0,0,0.57,4.9816666666666665,1,purple
2263,6,2.0,2.0,295.0,2,365,5,6,6,6.15,4.953333333333333,1,purple
2264,4,2.0,3.0,110.0,30,365,1,1,28,0.07,5.0,1,purple
2265,4,1.0,2.0,108.0,2,1125,0,11,15,0.86,4.948333333333333,0,pink
2266,4,2.0,2.0,280.0,2,1125,9,9,9,0.06,4.958333333333333,0,pink
2267,6,2.0,3.0,185.0,30,1125,30,60,90,0.24,4.82,0,pink
2268,5,2.0,2.0,208.0,2,30,0,25,55,1.23,4.986666666666667,2,dark purple
2269,2,1.0,1.0,91.0,30,60,1,6,31,0.51,5.0,2,dark purple
2270,2,1.0,1.0,91.0,2,1125,24,52,82,1.4,4.953333333333333,0,pink
2271,4,1.0,2.0,89.0,2,1125,25,55,78,0.83,4.99,0,pink
2272,4,1.0,2.0,153.0,1,1125,0,0,0,8.46,4.9383333333333335,0,pink
2273,4,1.0,1.0,124.0,30,120,29,59,62,0.18,5.0,2,dark purple
2275,1,1.0,2.0,50.0,30,730,0,0,28,0.25,4.776666666666666,1,purple
2276,4,1.0,2.0,127.0,1,7,19,40,55,5.5,4.986666666666666,2,dark purple
2277,4,1.0,1.0,80.0,58,365,30,60,90,0.0,0.0,1,purple
2278,3,1.0,1.0,101.0,2,730,27,57,87,4.27,4.955,1,purple
2279,4,1.0,2.0,137.0,2,30,12,23,42,4.56,4.935,2,dark purple
2280,4,2.0,2.0,71.0,30,1125,0,9,39,0.6,4.11,0,pink
2281,2,1.0,1.0,55.0,30,1125,25,55,85,0.16,4.75,0,pink
2282,2,1.0,1.0,72.0,30,1125,26,53,53,0.27,4.851666666666667,0,pink
2283,2,1.0,1.0,73.0,30,120,4,4,15,0.4,4.916666666666667,2,dark purple
2284,4,1.0,2.0,59.0,29,365,13,18,43,0.3,4.966666666666667,1,purple
2285,2,1.0,1.0,138.0,1,731,23,48,78,1.73,4.915,1,purple
2286,2,1.0,1.0,112.0,30,1125,0,22,52,0.49,4.8950000000000005,0,pink
2287,5,1.5,3.0,323.0,2,90,17,43,63,2.33,4.995,2,dark purple
2288,4,1.0,1.0,129.0,1,365,19,45,75,0.0,0.0,1,purple
2289,8,2.0,3.0,579.0,3,30,29,59,85,1.69,5.0,2,dark purple
2290,2,1.0,1.0,111.0,3,120,26,56,86,1.54,4.911666666666666,2,dark purple
2291,2,1.0,1.0,143.0,1,365,25,37,62,1.03,4.785,1,purple
2292,2,3.0,1.0,300.0,30,90,23,53,83,0.16,4.843333333333334,2,dark purple
2293,1,1.5,1.0,50.0,5,60,0,0,16,2.12,4.918333333333334,2,dark purple
2294,4,1.5,2.0,80.0,29,30,3,3,3,0.0,0.0,2,dark purple
2295,4,1.5,2.0,149.0,2,90,30,60,90,1.18,4.833333333333333,2,dark purple
2296,6,1.0,3.0,172.0,2,1125,7,9,11,1.02,4.886666666666666,0,pink
2297,7,2.5,4.0,183.0,1,7,21,50,60,4.48,4.986666666666667,2,dark purple
2298,2,1.0,1.0,100.0,30,365,0,0,0,0.63,4.9799999999999995,1,purple
2299,6,2.0,4.0,215.0,1,1125,7,22,49,1.63,4.91,0,pink
2300,2,1.0,1.0,88.0,31,1125,0,27,57,0.2,4.916666666666667,0,pink
2301,7,3.5,4.0,358.0,2,1125,5,5,13,1.19,4.91,0,pink
2302,4,2.0,2.0,151.0,31,1125,2,32,62,0.0,0.0,0,pink
2303,6,2.0,4.0,123.0,1,5,21,51,81,1.28,4.8566666666666665,2,dark purple
2304,2,1.0,1.0,150.0,31,1125,0,0,0,0.0,0.0,0,pink
2305,2,1.0,1.0,132.0,30,365,23,53,83,0.23,4.958333333333333,1,purple
2306,2,1.0,1.0,65.0,30,1125,15,25,28,3.02,4.966666666666667,0,pink
2307,4,1.0,2.0,188.0,2,30,29,59,89,1.95,4.966666666666667,2,dark purple
2308,4,3.0,2.0,100.0,30,365,0,0,8,0.0,0.0,1,purple
2309,3,1.0,3.0,143.0,29,180,30,60,90,2.11,4.896666666666667,2,dark purple
2310,4,1.0,2.0,136.0,2,1125,24,54,81,4.55,4.966666666666667,0,pink
2311,4,1.5,2.0,50.0,30,365,30,60,90,0.14,5.0,1,purple
2312,2,1.0,1.0,84.0,1,1125,27,57,87,4.68,4.851666666666667,0,pink
2313,4,2.0,2.0,139.0,30,300,27,57,60,1.15,4.906666666666666,1,purple
2314,6,1.5,4.0,288.0,3,10,8,23,50,0.51,4.945,2,dark purple
2315,12,2.0,6.0,99.0,1,365,16,46,76,3.94,4.846666666666667,1,purple
2316,2,1.0,1.0,61.0,30,180,0,0,0,0.59,5.0,2,dark purple
2317,5,1.0,4.0,214.0,1,1125,24,48,76,3.24,4.963333333333333,0,pink
2318,4,1.0,2.0,106.0,2,28,23,51,77,4.67,4.914999999999999,2,dark purple
2319,5,1.5,3.0,138.0,29,365,14,44,74,0.26,4.945,1,purple
2320,6,2.5,2.0,181.0,2,45,21,51,81,4.92,4.836666666666666,2,dark purple
2321,3,1.0,2.0,112.0,1,60,21,33,59,3.81,4.951666666666667,2,dark purple
2322,5,1.0,2.0,120.0,29,1125,30,60,90,2.03,4.8549999999999995,0,pink
2323,4,2.0,2.0,93.0,29,1125,28,58,88,0.31,4.8966666666666665,0,pink
2324,3,1.0,3.0,86.0,2,1125,10,40,43,1.5,4.843333333333334,0,pink
2325,10,4.0,6.0,358.0,29,180,29,59,62,0.0,0.0,2,dark purple
2326,5,1.0,3.0,65.0,30,1125,17,27,57,4.72,4.906666666666666,0,pink
2327,8,2.0,4.0,138.0,29,1125,0,26,56,0.82,4.945,0,pink
2328,6,2.0,3.0,191.0,1,731,22,46,76,2.5,5.0,1,purple
2329,8,4.5,3.0,579.0,2,730,30,60,90,1.14,4.951666666666667,1,purple
2330,4,2.0,2.0,266.0,4,365,18,43,73,1.47,4.908333333333333,1,purple
2331,2,1.0,1.0,82.0,29,1125,22,25,55,0.29,4.9816666666666665,0,pink
2332,3,1.0,2.0,125.0,30,180,12,12,12,0.15,4.958333333333333,2,dark purple
2333,2,1.0,1.0,79.0,30,90,27,57,87,2.24,4.901666666666666,2,dark purple
2334,3,1.0,1.0,42.0,30,365,0,29,59,0.36,4.666666666666667,1,purple
2335,3,1.0,2.0,79.0,1,365,22,26,27,0.52,4.803333333333334,1,purple
2336,2,1.0,1.0,118.0,31,1125,0,0,25,0.2,5.0,0,pink
2337,4,1.0,1.0,110.0,2,4,16,44,64,5.29,4.965,2,dark purple
2338,4,1.0,2.0,141.0,1,16,0,0,0,9.17,4.981666666666667,2,dark purple
2339,10,2.0,5.0,200.0,3,365,29,59,89,0.29,5.0,1,purple
2340,4,1.0,2.0,55.0,29,1125,13,43,73,1.24,4.794999999999999,0,pink
2341,2,1.0,1.0,140.0,1,365,25,45,60,2.77,4.98,1,purple
2342,4,2.5,2.0,253.0,29,730,28,58,88,0.64,4.586666666666666,1,purple
2343,3,1.0,1.0,150.0,29,1125,30,60,90,0.0,0.0,0,pink
2344,4,1.0,2.0,75.0,29,1125,1,1,28,0.21,4.833333333333333,0,pink
2345,2,1.0,1.0,81.0,30,365,0,0,0,0.0,0.0,1,purple
2346,4,0.0,3.0,332.0,29,1125,30,60,90,0.0,0.0,0,pink
2347,9,3.5,5.0,400.0,3,365,18,39,66,1.76,4.851666666666667,1,purple
2348,5,1.0,3.0,176.0,2,1125,0,0,0,1.72,4.8133333333333335,0,pink
2349,4,1.0,2.0,90.0,30,1125,0,0,0,0.66,4.8549999999999995,0,pink
2350,2,1.0,1.0,120.0,1,1125,0,0,0,3.28,4.871666666666667,0,pink
2351,2,1.0,1.0,80.0,1,15,17,37,63,2.4,5.0,2,dark purple
2352,6,2.5,2.0,283.0,2,730,6,13,13,3.08,4.973333333333333,1,purple
2353,2,1.0,1.0,85.0,3,365,21,51,81,2.11,4.953333333333333,1,purple
2354,4,2.5,4.0,199.0,29,120,13,43,73,0.0,0.0,2,dark purple
2355,14,3.5,8.0,354.0,29,600,21,45,72,2.39,4.898333333333333,1,purple
